bus_id,node_name,node_phase,vr_upper,vr_lower,vi_upper,vi_lower
988,R4-25-00-1_xfmr_45_sending_2,2,-118.8,-121.2,1,-1
989,R4-25-00-1_xfmr_46_primary,B,-7116.1299,-7259.8901,-12324.5,-12575.5
990,R4-25-00-1_xfmr_46_sending_1,1,-59.4,-60.6,-101.8838302,-105.9622914
991,R4-25-00-1_xfmr_46_sending_2,2,60.6,59.4,105.9622914,101.8838302
992,R4-25-00-1_xfmr_47_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
993,R4-25-00-1_xfmr_47_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
994,R4-25-00-1_xfmr_47_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
995,R4-25-00-1_xfmr_48_primary,A,14519.7802,14232.2598,1,-1
996,R4-25-00-1_xfmr_48_sending_1,1,121.2,118.8,1,-1
997,R4-25-00-1_xfmr_48_sending_2,2,-118.8,-121.2,1,-1
998,R4-25-00-1_xfmr_49_primary,B,-7116.1299,-7259.8901,-12324.5,-12575.5
999,R4-25-00-1_xfmr_49_sending_1,1,-59.4,-60.6,-101.8838302,-105.9622914
1000,R4-25-00-1_xfmr_49_sending_2,2,60.6,59.4,105.9622914,101.8838302
1001,R4-25-00-1_xfmr_50_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
1002,R4-25-00-1_xfmr_50_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
1003,R4-25-00-1_xfmr_50_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
1004,R4-25-00-1_xfmr_51_primary,A,14519.7802,14232.2598,1,-1
1005,R4-25-00-1_xfmr_51_sending_1,1,121.2,118.8,1,-1
1006,R4-25-00-1_xfmr_51_sending_2,2,-118.8,-121.2,1,-1
1007,R4-25-00-1_xfmr_52_primary,B,-7116.1299,-7259.8901,-12324.5,-12575.5
1008,R4-25-00-1_xfmr_52_sending_1,1,-59.4,-60.6,-101.8838302,-105.9622914
1009,R4-25-00-1_xfmr_52_sending_2,2,60.6,59.4,105.9622914,101.8838302
1010,R4-25-00-1_xfmr_53_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
1011,R4-25-00-1_xfmr_53_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
1012,R4-25-00-1_xfmr_53_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
1013,R4-25-00-1_xfmr_54_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
1014,R4-25-00-1_xfmr_54_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
1015,R4-25-00-1_xfmr_54_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
